Date,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020-05-01,-0.43200000000000005,-0.722,-0.0504,0.0254,0.22,-0.276,-0.5870000000000001,-0.183,-0.0315,-0.0525
2020-05-01,-0.609,-0.635,-0.183,-0.212,0.19,-0.47200000000000003,-0.662,-0.222,-0.207,-0.16699999999999998
2020-05-01,-0.451,-0.6779999999999999,-0.0789,-0.209,0.157,-0.225,-0.556,-0.21600000000000003,0.0921,-0.0602
2020-05-02,-0.488,-0.71,-0.131,-0.131,0.192,-0.507,-0.596,-0.21600000000000003,-0.0794,-0.152
2020-05-02,-0.575,-0.624,-0.20199999999999999,-0.272,0.0635,-0.57,-0.53,-0.215,-0.11599999999999999,-0.168
2020-05-02,-0.623,-0.695,-0.205,-0.345,0.121,-0.45399999999999996,-0.619,-0.231,-0.196,-0.195
2020-05-02,-0.41100000000000003,-0.639,-0.032,-0.115,0.22399999999999998,-0.318,-0.642,-0.231,-0.0298,-0.0145
2020-05-02,-0.659,-0.747,-0.292,-0.449,0.196,-0.556,-0.71,-0.308,-0.257,-0.268
2020-05-02,-0.616,-0.6920000000000001,-0.233,-0.371,0.151,-0.469,-0.7120000000000001,-0.257,-0.157,-0.225
2020-05-02,-0.67,-0.711,-0.27,-0.374,0.307,-0.605,-0.728,-0.281,-0.226,-0.257
2020-05-02,-0.631,-0.7509999999999999,-0.256,-0.341,0.217,-0.748,-0.611,-0.28600000000000003,-0.0861,-0.253
2020-05-02,-0.7509999999999999,-0.843,-0.44,-0.41100000000000003,0.0303,-0.503,-0.8220000000000001,-0.44,-0.40299999999999997,-0.537
2020-05-02,-0.495,-0.643,-0.141,-0.314,0.193,-0.449,-0.618,-0.221,-0.076,-0.147
2020-05-02,-0.537,-0.672,-0.188,-0.336,0.177,-0.45,-0.654,-0.24100000000000002,-0.107,-0.19
2020-05-02,-0.466,-0.794,-0.0973,-0.235,0.29,-0.469,-0.5539999999999999,-0.111,0.00346,-0.0817
2020-05-02,-0.455,-0.6729999999999999,-0.105,-0.16399999999999998,0.20600000000000002,-0.268,-0.512,-0.284,-0.0195,-0.115
2020-05-02,-0.536,-0.769,-0.185,-0.226,0.252,-0.49200000000000005,-0.6809999999999999,-0.282,-0.11599999999999999,-0.146
2020-05-02,-0.496,-0.858,-0.105,-0.231,0.20800000000000002,-0.44,-0.691,-0.0776,-0.0491,-0.14
2020-05-02,-0.611,-0.617,-0.215,-0.261,0.14800000000000002,-0.48700000000000004,-0.677,-0.249,-0.142,-0.213
2020-05-02,-0.444,-0.816,-0.11599999999999999,-0.11599999999999999,0.159,-0.384,-0.648,-0.113,-0.163,-0.105
2020-05-02,-0.37799999999999995,-0.615,-0.0398,-0.121,0.228,-0.34299999999999997,-0.647,-0.183,0.0269,-0.0672
2020-05-02,-0.47700000000000004,-0.638,-0.11199999999999999,-0.19,0.196,-0.441,-0.574,-0.146,-0.0787,-0.126
2020-05-02,-0.486,-0.605,-0.0362,0.025,0.161,-0.36200000000000004,-0.563,-0.153,0.0304,-0.0496
2020-05-02,-0.568,-0.787,-0.23800000000000002,-0.331,0.17600000000000002,-0.53,-0.665,-0.301,-0.0253,-0.188
2020-05-02,-0.5870000000000001,-0.76,-0.21899999999999997,-0.248,0.273,-0.436,-0.718,-0.237,-0.248,-0.172
2020-05-02,-0.503,-0.612,-0.0929,-0.12,0.295,-0.563,-0.695,-0.179,-0.0467,-0.094
2020-05-02,-0.611,-0.635,-0.19399999999999998,-0.301,0.207,-0.49,-0.6729999999999999,-0.22,-0.149,-0.17300000000000001
2020-05-02,-0.484,-0.721,-0.122,-0.14400000000000002,0.21899999999999997,-0.374,-0.633,-0.0652,-0.10400000000000001,-0.163
2020-05-02,-0.494,-0.68,-0.0975,-0.188,0.33299999999999996,-0.499,-0.6409999999999999,-0.267,-0.0677,-0.0392
2020-05-02,-0.669,-0.7240000000000001,-0.195,-0.317,0.138,-0.478,-0.637,-0.425,-0.184,-0.177
2020-05-02,-0.473,-0.64,-0.145,-0.263,0.14400000000000002,-0.29,-0.606,-0.195,-0.11699999999999999,-0.129
2020-05-02,-0.63,-0.7829999999999999,-0.252,-0.41700000000000004,0.301,-0.40299999999999997,-0.6459999999999999,-0.261,-0.258,-0.245
2020-05-02,-0.5479999999999999,-0.721,-0.0821,-0.182,0.233,-0.385,-0.605,-0.122,-0.297,-0.0348
2020-05-02,-0.562,-0.6679999999999999,-0.193,-0.32,0.284,-0.512,-0.6970000000000001,-0.222,-0.161,-0.14800000000000002
2020-05-02,-0.695,-0.7809999999999999,-0.259,-0.35100000000000003,0.254,-0.608,-0.682,-0.248,-0.26,-0.264
2020-05-02,-0.575,-0.812,-0.203,-0.297,0.242,-0.562,-0.6990000000000001,-0.247,-0.139,-0.16399999999999998
2020-05-02,-0.606,-0.659,-0.23399999999999999,-0.382,0.159,-0.519,-0.67,-0.273,-0.17600000000000002,-0.23800000000000002
2020-05-02,-0.396,-0.617,-0.0212,-0.153,0.23,-0.363,-0.557,-0.0669,0.0283,-0.00859
2020-05-02,-0.465,-0.71,-0.106,-0.0157,0.23800000000000002,-0.39299999999999996,-0.688,-0.22,-0.0841,-0.10099999999999999
2020-05-02,-0.40399999999999997,-0.6809999999999999,-0.0691,-0.11699999999999999,0.179,-0.324,-0.596,-0.14400000000000002,-0.0526,-0.063
2020-05-02,-0.667,-0.67,-0.257,-0.326,0.13699999999999998,-0.535,-0.643,-0.293,-0.27,-0.245
2020-05-02,-0.583,-0.693,-0.19899999999999998,-0.287,0.23800000000000002,-0.546,-0.675,-0.25,-0.125,-0.183
2020-05-02,-0.667,-0.9159999999999999,-0.254,-0.371,0.0744,-0.41700000000000004,-0.787,-0.222,-0.5529999999999999,-0.184
2020-05-02,-0.48100000000000004,-0.6859999999999999,-0.124,-0.233,0.16899999999999998,-0.4,-0.593,-0.213,-0.0624,-0.127
2020-05-02,-0.599,-0.6659999999999999,-0.212,-0.231,0.0772,-0.324,-0.68,-0.235,-0.28,-0.193
2020-05-02,-0.348,-0.68,-0.031,-0.0327,0.25,-0.314,-0.606,-0.201,0.0456,-0.084
